IPRD_ID,IPRD_REFERENCE,IPRD_SIGNATURE_DATE,Reflected_Date,COMP_LEGAL_NAME,DECL_IS_PROP_FLAG,LICD_DEC_PREP_TO_GRANT_FLAG,LICD_REC_CONDI_FLAG,DIPG_ID,DIPG_DISPLAY_NUMBER,DIPG_EXTERNAL_ID,Standard,Ess_To_Standard,WI_Type,WOIT_ETSI_DELIVERABLE_NUMBER,WOIT_REFERENCE,WOIT_VERSION,3GPP_Type,TGPP_NUMBER,TGPV_VERSION,Patent_Type,PATT_APPLICATION_NUMBER,PUBL_NUMBER,PBPA_TITLEEN,PBPA_PRIORITY_NUMBERS,Country_Of_Registration,PBPA_APP_DATE,ETPR_ID,ETPR_ACRONYM,Ess_To_Project,Illustrative_Part,DIPG_PATF_ID,Original_Application_Number,Original_Publication_Number,Explicitely_Disclosed,Normalized_Patent,2G,3G,4G,5G
1140,ISLD-201107-009,2011-09-03,2011-09-14,NTT DOCOMO INC,1,1,1,27176,1,-1,TS 125 309 (RTS/TSGR-0225309v660) version 6.6.0 -- 3GPP TS 25.309 version 6.6.0,1,TS,125 309,RTS/TSGR-0225309v660,6.6.0,TS,25.309,6.6.0,Family Member,JP20060552944T,-1,-1,|JP20050004537|WO2006JP300226|,JP JAPAN,2006-01-11,133,3GPP | Third Generation Partnership Project,1,9.1,9014,-1,-1,0,-1,0,1,0,0
1140,ISLD-201107-009,2011-09-03,2011-09-14,NTT DOCOMO INC,1,1,1,27178,2,-1,TS 125 321 (RTS/TSGR-0225321v6I0) version 6.18.0 -- 3GPP TS 25.321 version 6.18.0,1,TS,125 321,RTS/TSGR-0225321v6I0,6.18.0,TS,25.321,6.18.0,Family Member,JP20050241686,JP2007060162 A | JP4761888 B2,"TRANSMISSION RATE CONTROL METHOD, MOBILE STATION, AND RADIO LINE CONTROL STATION",|JP20050241686|,JP JAPAN,2005-08-23,133,3GPP | Third Generation Partnership Project,1,"3.1.2,9.2.5.2.1,9.2.5.2.2,11.8.1.3.1,11.8.1.3.5,11.8.1.4",9118,-1,-1,0,1,0,1,0,0
1140,ISLD-201107-009,2011-09-03,2011-09-14,NTT DOCOMO INC,1,1,1,27180,4,-1,TS 125 321 (RTS/TSGR-0225321v6I0) version 6.18.0 -- 3GPP TS 25.321 version 6.18.0,1,TS,125 321,RTS/TSGR-0225321v6I0,6.18.0,TS,25.321,6.18.0,Family Member,JP20070509293,JP4751881 B2 | JPWO2006101115 A1,-1,|JP20050082784|JP20070509293|WO2006JP305685|,JP JAPAN,2006-03-22,133,3GPP | Third Generation Partnership Project,1,"3.1.2,9.2.5.2.2,11.8.1.3.1,11.8.1.4",9120,-1,-1,0,1,0,1,0,0
1155,ISLD-201108-002,2011-09-04,2011-09-14,NTT DOCOMO INC,1,1,1,27429,3,-1,TS 123 135 (RTS/TSGC-0423135v800) version 8.0.0 -- 3GPP TS 23.135 version 8.0.0,1,TS,123 135,RTS/TSGC-0423135v800,8.0.0,TS,23.135,8.0.0,Basis Patent,JP19970162750,JP10075478 A | JP3323421 B2 | JPH1075478 A,MOBILE COMMUNICATION SYSTEM,|JP19960161950|JP19970162750|,JP JAPAN,1997-06-19,401,SAES | 3GPP System Architecture Evolution Specification - Evolved Packet System (non RAN aspects),1,"4.13,4.3.1,5.1",9281,-1,-1,1,1,0,1,1,0
1155,ISLD-201108-002,2011-09-04,2011-09-14,NTT DOCOMO INC,1,1,1,27433,7,-1,TS 123 002 (RTS/TSGS-0223002v860) version 8.6.0 -- 3GPP TS 23.002 version 8.6.0,1,TS,123 002,RTS/TSGS-0223002v860,8.6.0,TS,23.002,8.6.0,Basis Patent,JP19960520845T,-1,-1,|JP19950000819|JP19950000820|WO1995JP02753|,JP JAPAN,1995-12-28,401,SAES | 3GPP System Architecture Evolution Specification - Evolved Packet System (non RAN aspects),1,"3.13,4.1.3.2,4.1.3.1",5680,-1,-1,1,-1,1,1,1,0
1155,ISLD-201108-002,2011-09-04,2011-09-14,NTT DOCOMO INC,1,1,1,27435,9,-1,TS 136 211 (RTS/TSGR-0136211v890) version 8.9.0 -- 3GPP TS 36.211 version 8.9.0,1,TS,136 211,RTS/TSGR-0136211v890,8.9.0,TS,36.211,8.9.0,Family Member,JP20050223523,JP2005333677 A,BASE STATION APPARATUS IN MOBILE COMMUNICATION SYSTEM,|JP19970116192|JP20050223523|,JP JAPAN,2005-08-01,453,LTE | Rel-8 LTE 3G Long Term Evolution - Evolved Packet System RAN part,1,"4.1,5.3.4",9285,-1,-1,0,1,0,0,1,0
1155,ISLD-201108-002,2011-09-04,2011-09-14,NTT DOCOMO INC,1,1,1,27435,9,-1,TS 136 212 (RTS/TSGR-0136212v880) version 8.8.0 -- 3GPP TS 36.212 version 8.8.0,1,TS,136 212,RTS/TSGR-0136212v880,8.8.0,TS,36.212,8.8.0,Family Member,JP19980543752,JP3884774 B2,-1,|JP19970116192|WO1998JP01786|,JP JAPAN,1998-04-17,453,LTE | Rel-8 LTE 3G Long Term Evolution - Evolved Packet System RAN part,1,5.2.2.1,9285,-1,-1,0,1,0,0,1,0
1155,ISLD-201108-002,2011-09-04,2011-09-14,NTT DOCOMO INC,1,1,1,27435,9,-1,TS 136 212 (RTS/TSGR-0136212v880) version 8.8.0 -- 3GPP TS 36.212 version 8.8.0,1,TS,136 212,RTS/TSGR-0136212v880,8.8.0,TS,36.212,8.8.0,Family Member,JP20050223525,JP2006020351 A,BASE STATION APPARATUS OF MOBILE COMMUNICATION SYSTEM,|JP19970116192|JP20050223525|,JP JAPAN,2005-08-01,453,LTE | Rel-8 LTE 3G Long Term Evolution - Evolved Packet System RAN part,1,5.2.2.1,9285,-1,-1,0,1,0,0,1,0
1155,ISLD-201108-002,2011-09-04,2011-09-14,NTT DOCOMO INC,1,1,1,27435,9,-1,TS 136 212 (RTS/TSGR-0136212v880) version 8.8.0 -- 3GPP TS 36.212 version 8.8.0,1,TS,136 212,RTS/TSGR-0136212v880,8.8.0,TS,36.212,8.8.0,Family Member,JP20050224769,JP2005333679 A,BASE STATION EQUIPMENT IN MOBILE COMMUNICATION SYSTEM,|JP19970116192|JP20050224769|,JP JAPAN,2005-08-02,453,LTE | Rel-8 LTE 3G Long Term Evolution - Evolved Packet System RAN part,1,5.2.2.1,9285,-1,-1,0,1,0,0,1,0
1155,ISLD-201108-002,2011-09-04,2011-09-14,NTT DOCOMO INC,1,1,1,27435,9,-1,TS 136 300 (RTS/TSGR-0236300v8a0) version 8.10.0 -- 3GPP TS 36.300 version 8.10.0,1,TS,136 300,RTS/TSGR-0236300v8a0,8.10.0,TS,36.300,8.10.0,Basis Patent,JP20050224770,JP2005333680 A | JP4283789 B2,BASE STATION APPARATUS IN MOBILE COMMUNICATION SYSTEM,|JP19970116192|JP20050224770|,JP JAPAN,2005-08-02,453,LTE | Rel-8 LTE 3G Long Term Evolution - Evolved Packet System RAN part,1,5.3.1,9285,-1,-1,1,1,0,0,1,0
